time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-01-02T23:28:55.680Z,-0.1635,122.856,127.77,4.5,mb,,46,0.876,0.92,us,usc000tg4p,2015-03-27T07:01:19.040Z,"80 km SSW of Gorontalo, Indonesia",earthquake,6.8,5.9,0.066,67,reviewed,us,us
2015-01-03T00:32:30.350Z,64.4571,-17.5692,7.35,4.6,mb,,61,1.646,0.94,us,usc000tbd1,2015-03-27T07:01:20.040Z,"116 km W of Höfn, Iceland",earthquake,7.4,4.4,0.063,81,reviewed,us,us
2015-01-03T04:55:46.200Z,2.5639,126.7203,35,4.5,mb,,119,1.893,1.05,us,usc000tgex,2015-03-27T07:01:22.040Z,"170 km WNW of Tobelo, Indonesia",earthquake,8,2,0.14,15,reviewed,us,us
2015-01-03T05:20:22.890Z,2.8681,127.024,35,4.5,mb,,106,2.11,1.08,us,usc000tbdq,2015-03-27T07:01:23.040Z,"167 km NW of Tobelo, Indonesia",earthquake,9.2,2,0.111,24,reviewed,us,us
2015-01-03T08:03:31.370Z,0.007,123.7942,118.15,5,mb,,35,1.459,1.05,us,usc000tbdx,2015-03-27T07:01:23.040Z,"100 km SE of Gorontalo, Indonesia",earthquake,7.1,5.6,0.067,71,reviewed,us,us
2015-01-03T08:41:51.000Z,51.592,-178.1486,15.7,4.8,mb,,187,,0.89,us,usc000tbe0,2023-07-25T16:39:48.642Z,"109 km WSW of Adak, Alaska",earthquake,5.8,3.4,0.044,182,reviewed,ak,us
2015-01-03T08:50:40.690Z,-10.2521,161.1812,80.34,4.5,mb,,104,1.459,0.73,us,usc000tge5,2015-03-27T07:01:24.040Z,"83 km WNW of Kirakira, Solomon Islands",earthquake,11.7,9.5,0.192,8,reviewed,us,us
2015-01-03T12:29:43.700Z,56.1054,113.6346,10,4.8,mb,,63,15.314,0.66,us,usc000tbel,2015-03-27T07:01:26.040Z,"13 km ESE of Severomuysk, Russia",earthquake,9.8,1.9,0.04,212,reviewed,us,us
2015-01-03T12:46:34.300Z,37.2889,71.7699,128.42,4.9,mb,,59,0.967,0.7,us,usc000tbeq,2015-03-27T07:01:26.040Z,"29 km SE of Khorugh, Tajikistan",earthquake,6.9,6.2,0.057,97,reviewed,us,us
2015-01-03T14:21:31.830Z,3.7369,125.5497,79.99,4.7,mb,,109,3.31,1.16,us,usc000tbf2,2015-03-27T07:01:27.040Z,"184 km S of Sarangani, Philippines",earthquake,7.9,9.8,0.153,13,reviewed,us,us
2015-01-03T15:42:35.350Z,-22.7874,69.6627,10,4.7,mb,,117,13.018,1.09,us,usc000tgec,2015-03-27T07:01:27.040Z,"Mid-Indian Ridge",earthquake,8.2,1.9,0.183,9,reviewed,us,us
2015-01-03T17:13:08.640Z,15.5871,147.3884,27.26,4.5,mb,,100,3.145,0.87,us,usc000tgei,2015-03-27T07:01:27.040Z,"180 km ENE of Saipan, Northern Mariana Islands",earthquake,10.5,5.1,0.145,16,reviewed,us,us
2015-01-03T17:27:28.060Z,1.2857,126.0634,51.1,4.5,mb,,109,1.399,1.27,us,usc000tgeh,2015-03-27T07:01:28.040Z,"123 km E of Laikit, Laikit II (Dimembe), Indonesia",earthquake,7.6,9,0.124,19,reviewed,us,us
2015-01-03T17:44:03.530Z,44.5074,-114.112,8.5,5,mww,,10,0.123,1.37,us,usc000tbfq,2022-08-07T06:53:29.218Z,"9 km E of Challis, Idaho",earthquake,4.4,3.3,,,reviewed,us,us
2015-01-03T17:53:27.370Z,-5.6714,149.1311,169.13,4.5,mb,,110,3.186,1,us,usc000tgej,2015-03-27T07:01:28.040Z,"75 km NW of Kandrian, Papua New Guinea",earthquake,8.5,6.4,0.113,25,reviewed,us,us
2015-01-03T18:51:13.360Z,39.6229,143.3472,24.88,4.9,mb,,121,2.353,1.13,us,usc000tbgc,2015-03-27T07:01:30.040Z,"120 km E of Miyako, Japan",earthquake,5.4,5.1,0.051,126,reviewed,us,us
2015-01-03T20:59:57.140Z,-17.1556,168.7771,29.19,5.1,mb,,42,2.273,0.9,us,usc000tbh1,2024-01-17T21:08:58.900Z,"80 km NE of Port-Vila, Vanuatu",earthquake,8,2.9,0.069,70,reviewed,us,us
2015-01-04T01:49:55.840Z,50.579,-130.454,10,4.5,mwr,,,,1.39,us,usc000tbip,2022-07-27T12:22:26.422Z,"238 km W of Port McNeill, Canada",earthquake,5.3,1.5,,,reviewed,pgc,pgc
2015-01-04T05:16:36.410Z,16.4465,-94.2265,104.08,4.9,mb,,90,0.898,1.28,us,usc000tbjl,2022-07-27T12:25:21.538Z,"4 km ENE of General Pascual Fentes, Mexico",earthquake,4.3,6.1,0.056,99,reviewed,us,us
2015-01-04T05:51:25.910Z,29.2716,130.5524,26.19,5.1,mb,,75,2.232,0.64,us,usc000tbjs,2015-03-27T07:01:38.040Z,"106 km S of Koshima, Japan",earthquake,6.8,5,0.055,108,reviewed,us,us
2015-01-04T07:49:42.270Z,64.5993,-17.6711,6.29,4.5,mb,,84,1.579,0.89,us,usc000tbka,2015-03-27T07:01:41.040Z,"122 km S of Akureyri, Iceland",earthquake,5.2,4.5,0.097,32,reviewed,us,us
2015-01-04T08:40:05.860Z,-21.1084,-178.7054,555.89,4.5,mb,,85,4.533,0.61,us,usc000tbkg,2015-03-27T07:01:41.040Z,"Fiji region",earthquake,4.7,7.1,0.068,65,reviewed,us,us
2015-01-04T14:35:29.230Z,-56.8512,-150.5752,10,5.3,mb,,38,26.34,0.54,us,usc000tgg8,2015-03-27T07:01:45.040Z,"Pacific-Antarctic Ridge",earthquake,6.4,1.7,0.074,63,reviewed,us,us
2015-01-04T17:46:36.380Z,-4.4355,102.0376,55.09,4.6,mb,,197,0.918,0.65,us,usc000tgg5,2015-03-27T07:01:46.040Z,"southern Sumatra, Indonesia",earthquake,9.1,13.6,0.182,9,reviewed,us,us
2015-01-04T20:13:53.740Z,2.648,95.7669,28.21,4.5,mb,,193,2.247,0.86,us,usc000tbnc,2015-03-27T07:01:47.040Z,"70 km WNW of Sinabang, Indonesia",earthquake,11,7.2,0.18,9,reviewed,us,us
2015-01-04T21:00:54.840Z,-25.0106,178.3906,554.82,4.6,mb,,129,7.236,0.56,us,usc000tbnp,2015-03-27T07:01:47.040Z,"south of the Fiji Islands",earthquake,13.4,10.2,0.095,35,reviewed,us,us
2015-01-04T21:23:15.150Z,14.5111,-44.9905,10,5,mb,,51,12.007,0.67,us,usc000tbns,2015-03-27T07:01:48.040Z,"northern Mid-Atlantic Ridge",earthquake,10.2,1.8,0.05,139,reviewed,us,us
2015-01-04T22:12:45.270Z,26.9574,140.9381,23.6,4.5,mb,,73,1.12,0.72,us,usc000tbpd,2015-03-27T07:01:49.040Z,"Bonin Islands, Japan region",earthquake,6.3,5.4,0.08,55,reviewed,us,us
2015-01-04T22:25:25.660Z,45.2478,147.9506,141.99,4.8,mb,,60,3.984,0.55,us,usc000tbp8,2015-03-27T07:01:49.040Z,"6 km ENE of Kuril’sk, Russia",earthquake,6.9,5.2,0.033,308,reviewed,us,us
2015-01-04T23:23:43.570Z,-57.9101,157.6776,10,4.9,mb,,109,3.493,1.04,us,usc000tbpk,2015-03-27T07:01:49.040Z,"Macquarie Island region",earthquake,11.9,1.9,0.101,32,reviewed,us,us
2015-01-04T23:29:31.090Z,64.5932,-17.795,7.94,4.5,mb,,101,1.527,1.47,us,usc000tgge,2015-03-27T07:01:49.040Z,"122 km S of Akureyri, Iceland",earthquake,8.9,2.8,0.14,15,reviewed,us,us
2015-01-04T23:44:05.380Z,-7.0181,150.9005,35,5.1,mb,,84,3.076,0.69,us,usc000tbpu,2015-03-27T07:01:50.040Z,"174 km ESE of Kandrian, Papua New Guinea",earthquake,5.3,1.8,0.053,115,reviewed,us,us
2015-01-05T00:32:26.050Z,-24.0066,179.5454,549.68,4.5,mb,,122,6.384,0.64,us,usc000th4e,2015-03-27T07:01:50.040Z,"south of the Fiji Islands",earthquake,11.8,15,0.144,14,reviewed,us,us
2015-01-05T00:59:47.360Z,-10.1466,160.6099,35,4.5,mb,,153,0.959,0.44,us,usc000th4l,2015-03-27T07:01:50.040Z,"107 km SE of Honiara, Solomon Islands",earthquake,10.6,2,0.156,12,reviewed,us,us
2015-01-05T01:15:15.480Z,2.9353,122.9243,490.74,4.9,mb,,52,2.804,0.83,us,usc000tbq2,2015-03-27T07:01:51.040Z,"265 km N of Gorontalo, Indonesia",earthquake,8.8,4.7,0.055,104,reviewed,us,us
2015-01-05T02:54:56.040Z,-19.3189,-172.9184,10,4.6,mb,,102,2.837,1.38,us,usc000th4h,2015-03-27T07:01:52.040Z,"134 km ESE of Neiafu, Tonga",earthquake,7.4,1.9,0.173,10,reviewed,us,us
2015-01-05T03:14:51.810Z,-6.5348,129.879,179.03,4.9,mb,,24,2.013,0.88,us,usc000tbqi,2015-03-27T07:01:52.040Z,"Banda Sea",earthquake,7.3,5.3,0.061,83,reviewed,us,us
2015-01-05T05:18:51.880Z,-4.4676,151.3075,24.68,5.1,mb,,69,0.896,1.08,us,usc000tbr9,2022-05-03T17:09:08.701Z,"99 km WSW of Rabaul, Papua New Guinea",earthquake,6.8,5.2,0.081,50,reviewed,us,us
2015-01-05T06:04:31.070Z,56.255,113.6187,10,4.7,mb,,33,7.454,0.75,us,usc000tbrp,2015-03-27T07:01:54.040Z,"16 km NE of Severomuysk, Russia",earthquake,4.1,1.9,0.064,78,reviewed,us,us
2015-01-05T06:10:08.600Z,-7.1063,130.2845,80.85,4.6,mb,,94,1.33,1.3,us,usc000tbsb,2015-03-27T07:01:54.040Z,"Pulau Pulau Tanimbar, Indonesia",earthquake,8.6,8.4,0.125,19,reviewed,us,us
2015-01-05T07:25:03.140Z,30.555,142.053,10,4.7,mb,,125,3.185,0.96,us,usc000tbsg,2015-03-27T07:01:55.040Z,"Izu Islands, Japan region",earthquake,8.5,1.9,0.106,28,reviewed,us,us
2015-01-05T07:28:28.740Z,30.5544,142.1498,10,4.5,mb,,143,3.235,0.77,us,usc000th4t,2015-03-27T07:01:55.040Z,"Izu Islands, Japan region",earthquake,6,1.9,0.135,16,reviewed,us,us
2015-01-05T09:01:14.260Z,3.9786,126.4363,48.45,4.5,mb,,139,3.318,0.79,us,usc000th4y,2015-03-27T07:01:56.040Z,"190 km SE of Sarangani, Philippines",earthquake,11.7,8.3,0.15,13,reviewed,us,us
2015-01-05T11:54:00.900Z,34.96,26.35,4,4.5,mb,,,,1.49,us,usc000tbtk,2015-03-27T07:01:57.040Z,"Crete, Greece",earthquake,5.6,3.6,0.088,38,reviewed,ath,us
2015-01-05T13:17:14.610Z,-56.5097,-150.492,10,4.6,mb,,162,26.676,1.2,us,usc000th55,2015-03-27T07:01:58.040Z,"Pacific-Antarctic Ridge",earthquake,11.1,1.9,0.158,14,reviewed,us,us
2015-01-05T13:42:36.930Z,28.6272,51.8921,10,4.7,mb,,40,5.319,0.82,us,usc000tbtv,2015-03-27T07:01:58.040Z,"70 km WSW of F?r?z?b?d, Iran",earthquake,3.7,1.8,0.067,67,reviewed,us,us
2015-01-05T13:43:53.020Z,28.658,51.8989,10,4.6,mb,,58,7.693,0.92,us,usc000th5x,2015-03-27T07:01:58.040Z,"68 km WSW of F?r?z?b?d, Iran",earthquake,11.4,1.9,0.133,18,reviewed,us,us
2015-01-05T15:16:27.830Z,30.6064,142.1941,31.22,5.3,mb,,40,3.218,0.86,us,usc000tbud,2015-03-27T07:02:00.040Z,"Izu Islands, Japan region",earthquake,7.2,3.6,0.048,154,reviewed,us,us
2015-01-05T15:31:18.580Z,30.5346,142.0331,26.96,5,mb,,88,3.191,0.8,us,usc000tbun,2015-03-27T07:02:00.040Z,"Izu Islands, Japan region",earthquake,7,4.9,0.066,77,reviewed,us,us
2015-01-05T16:53:44.120Z,30.534,141.9539,24.11,4.5,mb,,124,3.171,0.57,us,usc000tbv9,2015-03-27T07:02:02.040Z,"Izu Islands, Japan region",earthquake,7.2,5.3,0.093,34,reviewed,us,us
2015-01-05T17:48:42.490Z,-43.0546,171.2364,8.06,5.6,mww,,44,0.646,1.24,us,usc000tbve,2022-07-27T12:37:31.124Z,"43 km SSE of Hokitika, New Zealand",earthquake,4.5,2.7,,,reviewed,us,us
2015-01-05T18:53:09.500Z,22.1451,144.1127,86.6,4.6,mb,,119,5.231,0.39,us,usc000tbwa,2015-03-27T07:02:03.040Z,"Volcano Islands, Japan region",earthquake,11.5,6.6,0.055,113,reviewed,us,us
2015-01-05T19:13:18.940Z,-3.4703,131.1897,34.71,4.5,mb,,57,1.19,0.61,us,usc000tbwg,2015-03-27T07:02:04.040Z,"252 km E of Amahai, Indonesia",earthquake,6.6,5.4,0.093,34,reviewed,us,us
2015-01-05T20:15:49.490Z,30.6566,142.6154,34.96,4.5,mb,,133,3.418,0.93,us,usc000th5j,2015-03-27T07:02:04.040Z,"Izu Islands, Japan region",earthquake,10.3,6.3,0.163,11,reviewed,us,us
2015-01-05T20:48:25.730Z,-21.4784,-179.1082,608.65,4.7,mb,,45,4.577,0.83,us,usc000tbxf,2015-03-27T07:02:04.040Z,"Fiji region",earthquake,12.8,6.5,0.068,68,reviewed,us,us
